ID_1	Name	Order
1	Aceh	1249
2	Bali	9756
3	Bangka Belitung	1205
4	Banten	21024
5	Bengkulu	1298
6	Gorontalo	280
7	Irian Jaya Barat	1779
8	Jakarta Raya	58691
9	Jambi	1140
10	Jawa Barat	43259
11	Jawa Tengah	12259
12	Jawa Timur	20057
13	Kalimantan Barat	3863
14	Kalimantan Selatan	2701
15	Kalimantan Tengah	3058
16	Kalimantan Timur	9512
17	Kalimantan Utara	1832
18	Kepulauan Riau	6799
19	Lampung	2154
20	Maluku Utara	924
21	Maluku	1355
22	Nusa Tenggara Barat	2073
23	Nusa Tenggara Timur	5157
24	Papua	4571
25	Riau	4864
26	Sulawesi Barat	452
27	Sulawesi Selatan	9997
28	Sulawesi Tengah	2073
29	Sulawesi Tenggara	1725
30	Sulawesi Utara	5939
31	SUmatera Barat	3861
32	Sumatera Selatan	4763
33	Sumatera Utara	15191
34	Yogyakarta	3620
