Date,New Users,New Members,First Time,New Repeat,New Loyal,Referral
2015-10-01,22918,3347,1370,374,218,48
2015-10-02,29726,2684,1791,411,205,87
2015-10-03,31225,2376,1626,324,163,53
2015-10-04,26506,2279,1594,293,159,46
2015-10-05,29779,2796,1840,379,203,104
2015-10-06,29310,2644,1834,364,182,102
2015-10-07,30161,2608,1681,377,181,89
2015-10-08,28748,3584,2061,446,242,152
2015-10-09,45944,3999,2702,527,273,137
2015-10-10,29924,2714,1789,410,176,122
2015-10-11,26813,2623,1738,301,167,99
2015-10-12,32147,2610,1673,371,164,93
2015-10-13,31280,2333,1638,375,194,87
2015-10-14,28493,2175,1517,332,162,83
2015-10-15,28615,2318,1559,349,184,91
2015-10-16,27108,2165,1632,397,189,87
2015-10-17,25832,1784,1341,333,147,82
2015-10-18,24551,1768,1374,294,157,57
2015-10-19,24239,1715,1342,392,187,63
2015-10-20,24550,1779,1378,406,217,90
2015-10-21,24861,1848,1352,415,207,84
2015-10-22,26567,1983,1547,428,233,85
2015-10-23,26089,1926,1519,487,210,98
2015-10-24,25700,1897,1465,416,233,90
2015-10-25,24091,1810,1407,335,176,54
2015-10-26,36377,2502,2169,646,380,89
2015-10-27,32138,2282,1913,568,315,112
2015-10-28,34224,2198,1854,544,310,138
2015-10-29,36234,2664,2298,664,356,132
2015-10-30,28596,2472,1688,488,276,92
2015-10-31,22968,2270,1589,410,212,71
