Date,Revenue,Transactions,Marketing Cost,CAC,CLV/ Month,TRx/month,CPA
2015-10-01,323708000,2033,211090072,154080,122339,0.77,103832
2015-10-02,396896000,2464,269931726,150716,144962,0.9,109550
2015-10-03,365007000,2227,240371372,147830,163767,1.01,107935
2015-10-04,356275000,2191,203095800,127413,173763,1.07,92695
2015-10-05,397380000,2510,196245681,106655,176818,1.1,78186
2015-10-06,420878000,2682,185258189,101013,183946,1.15,69075
2015-10-07,427376000,2525,198074239,117831,191596,1.19,78445
2015-10-08,481765000,3083,183517322,89043,194781,1.21,59526
2015-10-09,531279000,3503,187213927,69287,193382,1.21,53444
2015-10-10,438949000,2678,190247735,106343,200772,1.26,71041
2015-10-11,327103000,2035,195839872,112681,201908,1.26,96236
2015-10-12,384057000,2435,214527178,128229,205659,1.29,88102
2015-10-13,401731000,2400,206302838,125948,209292,1.31,85960
2015-10-14,354256000,2069,196066864,129246,212526,1.32,94764
2015-10-15,402413000,2310,192018418,123168,216154,1.34,83125
2015-10-16,400858000,2474,200699362,122978,219120,1.35,81123
2015-10-17,320838000,1903,186007669,138708,221998,1.37,97744
2015-10-18,300938000,1878,179401397,130569,222981,1.38,95528
2015-10-19,355096000,2171,180274413,134333,225958,1.39,83038
2015-10-20,385312000,2304,199426728,144722,229023,1.41,86557
2015-10-21,392057000,2345,192733505,142554,232201,1.43,82189
2015-10-22,430189000,2469,246602312,159407,234915,1.44,99879
2015-10-23,455674000,2662,235123523,154788,238385,1.46,88326
2015-10-24,389198000,2313,234780247,160260,240484,1.47,101505
2015-10-25,352444000,2050,233771473,166149,242632,1.48,114035
2015-10-26,530083000,3292,214730410,99000,242962,1.48,65228
2015-10-27,560540000,3365,203897530,106585,246407,1.5,60594
2015-10-28,558361000,3356,197354328,106448,249905,1.52,58806
2015-10-29,604963000,3764,269002697,117059,251123,1.53,71467
2015-10-30,520396000,3185,272671535,161535,254713,1.55,85611
2015-10-31,470568000,2917,259272113,163167,257401,1.57,88883
